Senator,Recommendation 1,Recommendation 2,Recommendation 3
Adam Schiff,Ed Markey (17),Brian Schatz (17),Michael Bennet (16)
Alex Padilla,Tammy Baldwin (13),Adam Schiff (12),Jeanne Shaheen (12)
Amy Klobuchar,Andy Kim (16),Elissa Slotkin (16),Maggie Hassan (4)
Andy Kim,Jeanne Shaheen (19),Raphael Warnock (15),Dick Durbin (11)
Angela Alsobrooks,Raphael Warnock (16),Dick Durbin (12),Jack Reed (11)
Ben Ray Lujan,Michael Bennet (11),Cory Booker (11),Maria Cantwell (11)
Brian Schatz,Tim Kaine (11),Chris Van Hollen (11),Elizabeth Warren (11)
Chris Coons,John Fetterman (18),Tammy Baldwin (16),Tammy Duckworth (15)
Chris Van Hollen,Tim Kaine (14),Elizabeth Warren (14),Tammy Duckworth (13)
Chuck Schumer,Jeff Merkley (5),Jon Ossoff (1),
Cory Booker,Raphael Warnock (16),Elissa Slotkin (13),Dick Durbin (12)
Dick Durbin,Andy Kim (15),Jack Reed (11),Chris Coons (10)
Ed Markey,Andy Kim (15),Dick Durbin (13),Jack Reed (11)
Elissa Slotkin,Tammy Duckworth (17),Amy Klobuchar (17),Dick Durbin (11)
Elizabeth Warren,Amy Klobuchar (15),Bernie Sanders (15),Tammy Duckworth (14)
Gary Peters,Amy Klobuchar (15),Bernie Sanders (15),Tammy Duckworth (14)
Jack Reed,Andy Kim (15),Elissa Slotkin (14),Dick Durbin (13)
Jeanne Shaheen,Angela Alsobrooks (7),Jeff Merkley (5),Mark Kelly (2)
Jon Ossoff,Michael Bennet (1),Cory Booker (1),John Fetterman (1)
Lisa Blunt Rochester,John Fetterman (18),Tammy Baldwin (16),Adam Schiff (15)
Maria Cantwell,Chuck Schumer (22),Chris Murphy (16),Tammy Duckworth (15)
Mark Warner,Cory Booker (18),Martin Heinrich (18),Patty Murray (18)
Martin Heinrich,Mark Warner (25),Bernie Sanders (19),Lisa Blunt Rochester (17)
Mazie Hirono,Tammy Baldwin (16),Adam Schiff (15),Jeanne Shaheen (15)
Michael Bennet,Bernie Sanders (18),Andy Kim (14),Elissa Slotkin (14)
Patty Murray,Dick Durbin (13),Mazie Hirono (11),Jack Reed (11)
Raphael Warnock,Chris Coons (11),Jeff Merkley (5),Mark Kelly (2)
Richard Blumenthal,Andy Kim (15),Elissa Slotkin (14),Jack Reed (12)
Ron Wyden,Elissa Slotkin (15),Chris Coons (11),Mazie Hirono (11)
Ruben Gallego,Tammy Baldwin (14),Adam Schiff (13),Jeanne Shaheen (13)
Sheldon Whitehouse,Elissa Slotkin (17),Jeff Merkley (5),Maggie Hassan (4)
Tammy Baldwin,John Fetterman (27),Dick Durbin (13),Jack Reed (12)
Tammy Duckworth,Mazie Hirono (11),Jack Reed (11),Chris Coons (10)
Tim Kaine,Mazie Hirono (13),Jeff Merkley (5),Maggie Hassan (4)
Tina Smith,Lisa Blunt Rochester (19),Dick Durbin (13),Angela Alsobrooks (7)
